"Time","Radiation"
2022-04-30 23:00:00,1.19
2022-05-01 02:00:00,1.19
2022-05-01 05:00:00,35.7
2022-05-01 08:00:00,242
2022-05-01 11:00:00,328
2022-05-01 14:00:00,260
2022-05-01 17:00:00,165
2022-05-01 20:00:00,3.85
2022-05-01 23:00:00,1.08
2022-05-02 02:00:00,1.08
2022-05-02 05:00:00,42.0
2022-05-02 08:00:00,386
2022-05-02 11:00:00,774
2022-05-02 14:00:00,483
2022-05-02 17:00:00,120
2022-05-02 20:00:00,4.95
2022-05-02 23:00:00,1.11
2022-05-03 02:00:00,1.09
2022-05-03 05:00:00,34.9
2022-05-03 08:00:00,516
2022-05-03 11:00:00,717
2022-05-03 14:00:00,370
2022-05-03 17:00:00,44.7
2022-05-03 20:00:00,2.36
2022-05-03 23:00:00,1.07
2022-05-04 02:00:00,1.05
2022-05-04 05:00:00,41.6
2022-05-04 08:00:00,517
2022-05-04 11:00:00,589
2022-05-04 14:00:00,574
2022-05-04 17:00:00,128
2022-05-04 20:00:00,5.89
2022-05-04 23:00:00,1.08
2022-05-05 02:00:00,1.08
2022-05-05 05:00:00,23.3
2022-05-05 08:00:00,75.0
2022-05-05 11:00:00,116
2022-05-05 14:00:00,234
2022-05-05 17:00:00,82.7
2022-05-05 20:00:00,6.38
2022-05-05 23:00:00,1.17
2022-05-06 02:00:00,1.18
2022-05-06 05:00:00,28.4
2022-05-06 08:00:00,221
2022-05-06 11:00:00,620
2022-05-06 14:00:00,614
2022-05-06 17:00:00,199
2022-05-06 20:00:00,4.95
2022-05-06 23:00:00,1.03
2022-05-07 02:00:00,1.03
2022-05-07 05:00:00,35.5
2022-05-07 08:00:00,599
2022-05-07 11:00:00,780
2022-05-07 14:00:00,471
2022-05-07 17:00:00,171
2022-05-07 20:00:00,6.24
2022-05-07 23:00:00,1.04
2022-05-08 02:00:00,1.06
2022-05-08 05:00:00,40.4
2022-05-08 08:00:00,539
2022-05-08 11:00:00,713
2022-05-08 14:00:00,588
2022-05-08 17:00:00,185
2022-05-08 20:00:00,9.55
2022-05-08 23:00:00,1.04
2022-05-09 02:00:00,1.04
2022-05-09 05:00:00,41.6
2022-05-09 08:00:00,574
2022-05-09 11:00:00,828
2022-05-09 14:00:00,625
2022-05-09 17:00:00,171
2022-05-09 20:00:00,6.07
2022-05-09 23:00:00,1.03
2022-05-10 02:00:00,1.01
2022-05-10 05:00:00,61.3
2022-05-10 08:00:00,511
2022-05-10 11:00:00,779
2022-05-10 14:00:00,519
2022-05-10 17:00:00,146
2022-05-10 20:00:00,5.51
2022-05-10 23:00:00,1.03
2022-05-11 02:00:00,1.01
2022-05-11 05:00:00,37.3
2022-05-11 08:00:00,592
2022-05-11 11:00:00,837
2022-05-11 14:00:00,588
2022-05-11 17:00:00,175
2022-05-11 20:00:00,5.86
2022-05-11 23:00:00,1.06
2022-05-12 02:00:00,1.06
2022-05-12 05:00:00,36.9
2022-05-12 08:00:00,443
2022-05-12 11:00:00,576
2022-05-12 14:00:00,526
2022-05-12 17:00:00,126
2022-05-12 20:00:00,7.16
2022-05-12 23:00:00,1.03
2022-05-13 02:00:00,1.03
2022-05-13 05:00:00,16.6
2022-05-13 08:00:00,253
2022-05-13 11:00:00,816
2022-05-13 14:00:00,654
2022-05-13 17:00:00,183
2022-05-13 20:00:00,6.11
2022-05-13 23:00:00,0.894
2022-05-14 02:00:00,0.897
2022-05-14 05:00:00,68.1
2022-05-14 08:00:00,629
2022-05-14 11:00:00,862
2022-05-14 14:00:00,639
2022-05-14 17:00:00,185
2022-05-14 20:00:00,7.00
2022-05-14 23:00:00,0.904
2022-05-15 02:00:00,0.906
2022-05-15 05:00:00,77.2
2022-05-15 08:00:00,583
2022-05-15 11:00:00,845
2022-05-15 14:00:00,638
2022-05-15 17:00:00,192
2022-05-15 20:00:00,5.95
2022-05-15 23:00:00,0.975
2022-05-16 02:00:00,0.971
2022-05-16 05:00:00,53.2
2022-05-16 08:00:00,391
2022-05-16 11:00:00,446
2022-05-16 14:00:00,455
2022-05-16 17:00:00,152
2022-05-16 20:00:00,8.93
2022-05-16 23:00:00,0.952
2022-05-17 02:00:00,0.949
2022-05-17 05:00:00,89.7
2022-05-17 08:00:00,505
2022-05-17 11:00:00,799
2022-05-17 14:00:00,623
2022-05-17 17:00:00,193
2022-05-17 20:00:00,7.46
2022-05-17 23:00:00,0.957
2022-05-18 02:00:00,0.953
2022-05-18 05:00:00,91.7
2022-05-18 08:00:00,627
2022-05-18 11:00:00,863
2022-05-18 14:00:00,657
2022-05-18 17:00:00,200
2022-05-18 20:00:00,6.66
2022-05-18 23:00:00,0.988
2022-05-19 02:00:00,0.967
2022-05-19 05:00:00,74.0
2022-05-19 08:00:00,580
2022-05-19 11:00:00,776
2022-05-19 14:00:00,582
2022-05-19 17:00:00,166
2022-05-19 20:00:00,4.10
2022-05-19 23:00:00,0.957
2022-05-20 02:00:00,0.954
2022-05-20 05:00:00,66.5
2022-05-20 08:00:00,583
2022-05-20 11:00:00,827
2022-05-20 14:00:00,388
2022-05-20 17:00:00,140
2022-05-20 20:00:00,2.56
2022-05-20 23:00:00,0.947
2022-05-21 02:00:00,0.907
2022-05-21 05:00:00,103
2022-05-21 08:00:00,384
2022-05-21 11:00:00,868
2022-05-21 14:00:00,574
2022-05-21 17:00:00,176
2022-05-21 20:00:00,11.8
2022-05-21 23:00:00,0.806
2022-05-22 02:00:00,0.817
2022-05-22 05:00:00,86.7
2022-05-22 08:00:00,600
2022-05-22 11:00:00,860
2022-05-22 14:00:00,531
2022-05-22 17:00:00,114
2022-05-22 20:00:00,6.60
2022-05-22 23:00:00,0.958
2022-05-23 02:00:00,0.940
2022-05-23 05:00:00,26.8
2022-05-23 08:00:00,413
2022-05-23 11:00:00,345
2022-05-23 14:00:00,473
2022-05-23 17:00:00,159
2022-05-23 20:00:00,5.59
2022-05-23 23:00:00,0.976
2022-05-24 02:00:00,0.943
2022-05-24 05:00:00,46.6
2022-05-24 08:00:00,304
2022-05-24 11:00:00,679
2022-05-24 14:00:00,529
2022-05-24 17:00:00,228
2022-05-24 20:00:00,10.5
2022-05-24 23:00:00,0.903
2022-05-25 02:00:00,0.914
2022-05-25 05:00:00,116
2022-05-25 08:00:00,667
2022-05-25 11:00:00,532
2022-05-25 14:00:00,546
2022-05-25 17:00:00,206
2022-05-25 20:00:00,17.8
2022-05-25 23:00:00,0.956
2022-05-26 02:00:00,0.992
2022-05-26 05:00:00,56.8
2022-05-26 08:00:00,265
2022-05-26 11:00:00,337
2022-05-26 14:00:00,444
2022-05-26 17:00:00,185
2022-05-26 20:00:00,7.01
2022-05-26 23:00:00,0.996
2022-05-27 02:00:00,0.985
2022-05-27 05:00:00,26.5
2022-05-27 08:00:00,140
2022-05-27 11:00:00,300
2022-05-27 14:00:00,337
2022-05-27 17:00:00,204
2022-05-27 20:00:00,12.1
2022-05-27 23:00:00,1.02
2022-05-28 02:00:00,0.997
2022-05-28 05:00:00,138
2022-05-28 08:00:00,615
2022-05-28 11:00:00,803
2022-05-28 14:00:00,583
2022-05-28 17:00:00,148
2022-05-28 20:00:00,9.27
2022-05-28 23:00:00,0.989
2022-05-29 02:00:00,1.00
2022-05-29 05:00:00,46.0
2022-05-29 08:00:00,240
2022-05-29 11:00:00,621
2022-05-29 14:00:00,635
2022-05-29 17:00:00,235
2022-05-29 20:00:00,9.52
2022-05-29 23:00:00,0.976
2022-05-30 02:00:00,0.965
2022-05-30 05:00:00,152
2022-05-30 08:00:00,672
2022-05-30 11:00:00,763
2022-05-30 14:00:00,553
2022-05-30 17:00:00,231
2022-05-30 20:00:00,11.0
2022-05-30 23:00:00,0.974
2022-05-31 02:00:00,0.999
2022-05-31 05:00:00,139
2022-05-31 08:00:00,499
2022-05-31 11:00:00,871
2022-05-31 14:00:00,490
2022-05-31 17:00:00,167
2022-05-31 20:00:00,9.75
2022-05-31 23:00:00,1.06
2022-06-01 02:00:00,1.05
2022-06-01 05:00:00,147
2022-06-01 08:00:00,668
2022-06-01 11:00:00,842
2022-06-01 14:00:00,652
2022-06-01 17:00:00,240
2022-06-01 20:00:00,21.9
2022-06-01 23:00:00,1.03
2022-06-02 02:00:00,1.02
2022-06-02 05:00:00,125
2022-06-02 08:00:00,671
2022-06-02 11:00:00,839
2022-06-02 14:00:00,551
2022-06-02 17:00:00,237
2022-06-02 20:00:00,14.3
2022-06-02 23:00:00,1.02
2022-06-03 02:00:00,1.02
2022-06-03 05:00:00,122
2022-06-03 08:00:00,615
2022-06-03 11:00:00,626
2022-06-03 14:00:00,277
2022-06-03 17:00:00,129
2022-06-03 20:00:00,11.4
2022-06-03 23:00:00,1.06
2022-06-04 02:00:00,1.04
2022-06-04 05:00:00,86.1
2022-06-04 08:00:00,127
2022-06-04 11:00:00,285
2022-06-04 14:00:00,577
2022-06-04 17:00:00,224
2022-06-04 20:00:00,10.1
2022-06-04 23:00:00,1.05
2022-06-05 02:00:00,1.06
2022-06-05 05:00:00,17.6
2022-06-05 08:00:00,182
2022-06-05 11:00:00,602
2022-06-05 14:00:00,245
2022-06-05 17:00:00,171
2022-06-05 20:00:00,16.8
2022-06-05 23:00:00,1.03
2022-06-06 02:00:00,1.05
2022-06-06 05:00:00,104
2022-06-06 08:00:00,429
2022-06-06 11:00:00,504
2022-06-06 14:00:00,328
2022-06-06 17:00:00,118
2022-06-06 20:00:00,12.7
2022-06-06 23:00:00,1.05
2022-06-07 02:00:00,1.03
2022-06-07 05:00:00,157
2022-06-07 08:00:00,480
2022-06-07 11:00:00,630
2022-06-07 14:00:00,563
2022-06-07 17:00:00,131
2022-06-07 20:00:00,15.4
2022-06-07 23:00:00,1.00
2022-06-08 02:00:00,1.01
2022-06-08 05:00:00,131
2022-06-08 08:00:00,648
2022-06-08 11:00:00,761
2022-06-08 14:00:00,216
2022-06-08 17:00:00,101
2022-06-08 20:00:00,12.7
2022-06-08 23:00:00,1.04
2022-06-09 02:00:00,1.04
2022-06-09 05:00:00,158
2022-06-09 08:00:00,369
2022-06-09 11:00:00,850
2022-06-09 14:00:00,401
2022-06-09 17:00:00,214
2022-06-09 20:00:00,11.7
2022-06-09 23:00:00,1.00
2022-06-10 02:00:00,1.01
2022-06-10 05:00:00,161
2022-06-10 08:00:00,680
2022-06-10 11:00:00,912
2022-06-10 14:00:00,742
2022-06-10 17:00:00,250
2022-06-10 20:00:00,12.5
2022-06-10 23:00:00,1.02
2022-06-11 02:00:00,1.02
2022-06-11 05:00:00,160
2022-06-11 08:00:00,661
2022-06-11 11:00:00,882
2022-06-11 14:00:00,707
2022-06-11 17:00:00,239
2022-06-11 20:00:00,11.4
2022-06-11 23:00:00,1.03
2022-06-12 02:00:00,1.02
2022-06-12 05:00:00,155
2022-06-12 08:00:00,662
2022-06-12 11:00:00,899
2022-06-12 14:00:00,515
2022-06-12 17:00:00,238
2022-06-12 20:00:00,19.4
2022-06-12 23:00:00,1.06
2022-06-13 02:00:00,1.02
2022-06-13 05:00:00,96.1
2022-06-13 08:00:00,628
2022-06-13 11:00:00,786
2022-06-13 14:00:00,579
2022-06-13 17:00:00,216
2022-06-13 20:00:00,11.2
2022-06-13 23:00:00,0.987
2022-06-14 02:00:00,0.954
2022-06-14 05:00:00,158
2022-06-14 08:00:00,675
2022-06-14 11:00:00,909
2022-06-14 14:00:00,710
2022-06-14 17:00:00,241
2022-06-14 20:00:00,22.2
2022-06-14 23:00:00,1.01
2022-06-15 02:00:00,0.990
2022-06-15 05:00:00,166
2022-06-15 08:00:00,676
2022-06-15 11:00:00,905
2022-06-15 14:00:00,690
2022-06-15 17:00:00,268
2022-06-15 20:00:00,20.6
2022-06-15 23:00:00,0.985
2022-06-16 02:00:00,0.979
2022-06-16 05:00:00,115
2022-06-16 08:00:00,586
2022-06-16 11:00:00,888
2022-06-16 14:00:00,704
2022-06-16 17:00:00,244
2022-06-16 20:00:00,14.0
2022-06-16 23:00:00,0.978
2022-06-17 02:00:00,0.935
2022-06-17 05:00:00,153
2022-06-17 08:00:00,639
2022-06-17 11:00:00,880
2022-06-17 14:00:00,684
2022-06-17 17:00:00,244
2022-06-17 20:00:00,10.6
2022-06-17 23:00:00,0.976
2022-06-18 02:00:00,0.964
2022-06-18 05:00:00,127
2022-06-18 08:00:00,599
2022-06-18 11:00:00,838
2022-06-18 14:00:00,659
2022-06-18 17:00:00,237
2022-06-18 20:00:00,17.0
2022-06-18 23:00:00,1.05
2022-06-19 02:00:00,0.989
2022-06-19 05:00:00,130
2022-06-19 08:00:00,617
2022-06-19 11:00:00,859
2022-06-19 14:00:00,676
2022-06-19 17:00:00,237
2022-06-19 20:00:00,15.2
2022-06-19 23:00:00,0.990
2022-06-20 02:00:00,0.964
2022-06-20 05:00:00,58.6
2022-06-20 08:00:00,414
2022-06-20 11:00:00,389
2022-06-20 14:00:00,363
2022-06-20 17:00:00,248
2022-06-20 20:00:00,17.9
2022-06-20 23:00:00,0.883
2022-06-21 02:00:00,0.875
2022-06-21 05:00:00,155
2022-06-21 08:00:00,447
2022-06-21 11:00:00,788
2022-06-21 14:00:00,649
2022-06-21 17:00:00,241
2022-06-21 20:00:00,20.0
2022-06-21 23:00:00,1.01
2022-06-22 02:00:00,1
2022-06-22 05:00:00,39.5
2022-06-22 08:00:00,106
2022-06-22 11:00:00,177
2022-06-22 14:00:00,211
2022-06-22 17:00:00,121
2022-06-22 20:00:00,17.9
2022-06-22 23:00:00,1.03
2022-06-23 02:00:00,1.01
2022-06-23 05:00:00,93.8
2022-06-23 08:00:00,640
2022-06-23 11:00:00,844
2022-06-23 14:00:00,645
2022-06-23 17:00:00,218
2022-06-23 20:00:00,11.8
2022-06-23 23:00:00,0.999
2022-06-24 02:00:00,1.00
2022-06-24 05:00:00,130
2022-06-24 08:00:00,533
2022-06-24 11:00:00,721
2022-06-24 14:00:00,486
2022-06-24 17:00:00,90.3
2022-06-24 20:00:00,6.87
2022-06-24 23:00:00,0.986
2022-06-25 02:00:00,0.976
2022-06-25 05:00:00,158
2022-06-25 08:00:00,622
2022-06-25 11:00:00,611
2022-06-25 14:00:00,417
2022-06-25 17:00:00,256
2022-06-25 20:00:00,17.8
2022-06-25 23:00:00,1.00
2022-06-26 02:00:00,1.02
2022-06-26 05:00:00,143
2022-06-26 08:00:00,658
2022-06-26 11:00:00,631
2022-06-26 14:00:00,566
2022-06-26 17:00:00,229
2022-06-26 20:00:00,19.2
2022-06-26 23:00:00,1.00
2022-06-27 02:00:00,1.01
2022-06-27 05:00:00,37.9
2022-06-27 08:00:00,93.4
2022-06-27 11:00:00,314
2022-06-27 14:00:00,298
2022-06-27 17:00:00,184
2022-06-27 20:00:00,16.4
2022-06-27 23:00:00,1.04
2022-06-28 02:00:00,1.00
2022-06-28 05:00:00,161
2022-06-28 08:00:00,656
2022-06-28 11:00:00,904
2022-06-28 14:00:00,649
2022-06-28 17:00:00,200
2022-06-28 20:00:00,13.3
2022-06-28 23:00:00,1.07
2022-06-29 02:00:00,1.07
2022-06-29 05:00:00,74.2
2022-06-29 08:00:00,417
2022-06-29 11:00:00,767
2022-06-29 14:00:00,672
2022-06-29 17:00:00,245
2022-06-29 20:00:00,12.5
2022-06-29 23:00:00,1.02
2022-06-30 02:00:00,1.02
2022-06-30 05:00:00,151
2022-06-30 08:00:00,656
2022-06-30 11:00:00,856
2022-06-30 14:00:00,683
